season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,1,2026-09-10,4374302,Amon-Ra St. Brown,WR,DET,18.85,,19.5,20.71,0.02,28.75
2026,1,2026-09-10,4038941,Justin Herbert,QB,LAC,19.22,17.83,18.8,20.08,0.02,28.5
2026,1,2026-09-10,4890973,Ashton Jeanty,RB,LV,18.36,,14.7,16.98,0.02,21.75
2026,1,2026-09-10,4361370,Chris Olave,WR,NO,14.8,,15.9,14.84,0.02,21.75
2026,1,2026-09-10,4239996,Travis Etienne Jr.,RB,NO,15.01,,14.4,14.59,0.02,21.75
2026,1,2026-09-10,4882093,Bhayshul Tuten,RB,JAX,12.89,,12.3,12.88,0.02,24.0
2026,1,2026-09-10,4569587,Wan'Dale Robinson,WR,TEN,10.38,,10.7,10.0,0.02,20.0
2026,1,2026-09-10,4608686,Kyle Monangai,RB,CHI,10.29,,7.7,9.73,0.02,24.75
2026,1,2026-09-10,4695883,Jalen Coker,WR,CAR,9.23,,9.8,9.22,0.02,21.75
2026,1,2026-09-10,3040151,George Kittle,TE,SF,8.39,10.09,8.3,9.18,0.02,22.5
2026,1,2026-09-10,4429059,Woody Marks,RB,HOU,8.3,,6.9,7.73,0.02,21.5
2026,1,2026-09-10,3051909,Daniel Carlson,K,NO,7.7,6.27,7.0,6.83,0.02,21.75
2026,1,2026-09-10,-16005,Browns D/ST,D/ST,CLE,6.41,7.05,6.1,6.73,0.02,15.5
2026,1,2026-09-10,4430834,Jalen McMillan,WR,TB,8.17,,7.9,8.15,0.3,23.5
2026,1,2026-09-10,3054850,Alvin Kamara,RB,NO,0.0,3.22,1.7,2.72,0.3,21.75
2026,1,2026-09-10,4432710,TreVeyon Henderson,RB,NE,0.0,,,0.0,1.0,
