season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,3,2026-09-24,4374302,Amon-Ra St. Brown,WR,DET,19.86,19.45,20.7,20.85,0.02,27.0
2026,3,2026-09-24,4360310,Trevor Lawrence,QB,JAX,17.71,19.03,18.0,18.72,0.02,24.25
2026,3,2026-09-24,4361370,Chris Olave,WR,NO,17.76,17.82,17.5,17.86,0.02,23.25
2026,3,2026-09-24,4038941,Justin Herbert,QB,LAC,17.53,16.41,17.2,16.65,0.02,21.75
2026,3,2026-09-24,4890973,Ashton Jeanty,RB,LV,18.93,15.52,19.5,16.61,0.02,20.25
2026,3,2026-09-24,3040151,George Kittle,TE,SF,12.7,12.43,10.7,13.38,0.02,28.0
2026,3,2026-09-24,4695883,Jalen Coker,WR,CAR,13.85,14.46,13.1,14.05,0.2,22.5
2026,3,2026-09-24,4432710,TreVeyon Henderson,RB,NE,10.53,12.76,11.6,11.38,0.02,21.25
2026,3,2026-09-24,4882093,Bhayshul Tuten,RB,JAX,11.04,11.27,12.2,11.34,0.02,24.25
2026,3,2026-09-24,3054850,Alvin Kamara,RB,NO,9.61,7.97,4.8,8.82,0.02,23.25
2026,3,2026-09-24,3051909,Daniel Carlson,K,NO,8.84,8.44,7.0,8.68,0.02,23.25
2026,3,2026-09-24,-16016,Vikings D/ST,D/ST,MIN,8.37,8.56,7.3,8.46,0.02,22.0
2026,3,2026-09-24,4569587,Wan'Dale Robinson,WR,TEN,8.03,8.88,9.7,7.84,0.02,18.25
2026,3,2026-09-24,4608686,Kyle Monangai,RB,CHI,8.49,7.07,10.1,7.32,0.2,18.5
2026,3,2026-09-24,4430834,Jalen McMillan,WR,TB,5.82,2.32,3.9,3.92,0.02,20.5
2026,3,2026-09-24,4242335,Jonathan Taylor,RB,IND,20.61,19.38,18.3,19.21,0.02,20.0
2026,3,2026-09-24,4431452,Drake Maye,QB,NE,18.64,17.93,17.6,17.8,0.02,21.25
2026,3,2026-09-24,4361307,Trey McBride,TE,ARI,16.47,17.08,17.0,16.01,0.02,19.5
2026,3,2026-09-24,4432620,Parker Washington,WR,JAX,15.0,15.06,15.7,15.32,0.02,24.25
2026,3,2026-09-24,4685382,Omarion Hampton,RB,LAC,15.02,14.12,15.2,14.33,0.02,21.75
2026,3,2026-09-24,4685472,Tetairoa McMillan,WR,CAR,14.25,13.96,13.8,14.0,0.02,22.5
2026,3,2026-09-24,4430737,Kyren Williams,RB,LAR,12.58,13.57,14.0,13.16,0.02,23.5
2026,3,2026-09-24,4430027,Sam LaPorta,TE,DET,11.2,11.91,14.1,12.16,0.02,27.0
2026,3,2026-09-24,16737,Mike Evans,WR,SF,12.48,13.56,14.6,14.01,0.2,28.0
2026,3,2026-09-24,4373678,Khalil Shakir,WR,BUF,10.35,10.26,10.3,11.21,0.02,28.75
2026,3,2026-09-24,4569559,Devaughn Vele,WR,NO,11.51,10.04,10.8,10.82,0.02,23.25
2026,3,2026-09-24,-16021,Eagles D/ST,D/ST,PHI,8.02,9.12,7.5,8.57,0.02,23.0
2026,3,2026-09-24,4362081,Cameron Dicker,K,LAC,9.1,7.67,7.8,8.2,0.02,21.75
2026,3,2026-09-24,2576925,Darren Waller,TE,CAR,5.56,7.76,7.0,6.62,0.02,22.5
2026,3,2026-09-24,4596334,Keaton Mitchell,RB,LAC,5.04,6.74,6.5,5.79,0.02,21.75
2026,3,2026-09-24,4686468,Seth McGowan,RB,IND,2.59,1.65,1.7,2.04,0.02,20.0
2026,3,2026-09-24,4426348,Jayden Daniels,QB,WSH,0.0,,0.5,0.45,1.0,16.75
2026,3,2026-09-24,4047365,Josh Jacobs,RB,GB,0.0,,,0.0,1.0,23.5
2026,3,2026-09-24,3917315,Kyler Murray,QB,MIN,17.34,17.66,16.7,17.23,0.02,22.0
2026,3,2026-09-24,4428331,Rashee Rice,WR,KC,12.74,12.45,13.3,13.65,0.02,28.5
2026,3,2026-09-24,4035538,David Montgomery,RB,HOU,11.91,14.95,13.2,13.34,0.02,22.5
2026,3,2026-09-24,4685702,Quinshon Judkins,RB,CLE,13.72,12.55,12.1,12.62,0.02,20.0
2026,3,2026-09-24,4426388,Jameson Williams,WR,DET,10.93,12.58,11.8,12.47,0.02,27.0
2026,3,2026-09-24,4432665,Brock Bowers,TE,LV,14.18,13.41,14.0,13.3,0.2,20.25
2026,3,2026-09-24,4685278,Luther Burden III,WR,CHI,11.16,10.36,10.9,10.02,0.02,18.5
2026,3,2026-09-24,3929645,Juwan Johnson,TE,NO,9.18,10.27,10.3,9.76,0.02,23.25
2026,3,2026-09-24,3116165,Chris Godwin Jr.,WR,TB,8.8,9.95,11.1,9.02,0.02,20.5
2026,3,2026-09-24,4036133,T.J. Hockenson,TE,MIN,9.18,8.9,8.5,8.92,0.02,22.0
2026,3,2026-09-24,4574716,Harrison Mevis,K,LAR,8.66,8.16,7.6,8.48,0.02,23.5
2026,3,2026-09-24,-16019,Giants D/ST,D/ST,NYG,6.63,8.61,6.2,7.62,0.02,21.25
2026,3,2026-09-24,4431611,Caleb Williams,QB,CHI,0.0,,0.5,0.47,0.8,18.5
