season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,2,2026-09-15,4374302,Amon-Ra St. Brown,WR,DET,20.18,17.44,,0.0,0.0,
2026,2,2026-09-15,4890973,Ashton Jeanty,RB,LV,17.54,14.35,,0.0,0.0,
2026,2,2026-09-15,4361370,Chris Olave,WR,NO,15.55,15.59,,0.0,0.0,
2026,2,2026-09-15,4239996,Travis Etienne Jr.,RB,NO,12.59,10.23,,0.0,0.0,
2026,2,2026-09-15,4882093,Bhayshul Tuten,RB,JAX,9.45,9.1,,0.0,0.0,
2026,2,2026-09-15,4432710,TreVeyon Henderson,RB,NE,9.0,10.21,,0.0,0.0,
2026,2,2026-09-15,3040151,George Kittle,TE,SF,10.35,11.33,,0.0,0.0,
2026,2,2026-09-15,4569587,Wan'Dale Robinson,WR,TEN,9.85,7.65,,0.0,0.0,
2026,2,2026-09-15,4038941,Justin Herbert,QB,LAC,19.41,16.95,,0.0,0.0,
2026,2,2026-09-15,4608686,Kyle Monangai,RB,CHI,10.0,7.22,,0.0,0.0,
2026,2,2026-09-15,4695883,Jalen Coker,WR,CAR,11.46,12.41,,0.0,0.0,
2026,2,2026-09-15,4429059,Woody Marks,RB,HOU,7.42,7.25,,0.0,0.0,
2026,2,2026-09-15,4430834,Jalen McMillan,WR,TB,6.49,5.68,,0.0,0.0,
2026,2,2026-09-15,3054850,Alvin Kamara,RB,NO,5.21,4.32,,0.0,0.0,
2026,2,2026-09-15,-16005,Browns D/ST,D/ST,CLE,6.31,5.05,,0.0,0.0,
2026,2,2026-09-15,3051909,Daniel Carlson,K,NO,7.86,5.84,,0.0,0.0,
2026,2,2026-09-15,4242335,Jonathan Taylor,RB,IND,17.68,18.58,,0.0,0.0,
2026,2,2026-09-15,4685382,Omarion Hampton,RB,LAC,16.01,13.68,,0.0,0.0,
2026,2,2026-09-15,4361307,Trey McBride,TE,ARI,14.31,14.33,,0.0,0.0,
2026,2,2026-09-15,4430737,Kyren Williams,RB,LAR,13.85,16.98,,0.0,0.0,
2026,2,2026-09-15,4685472,Tetairoa McMillan,WR,CAR,13.57,14.04,,0.0,0.0,
2026,2,2026-09-15,4426348,Jayden Daniels,QB,WSH,19.4,20.46,,0.0,0.0,
2026,2,2026-09-15,4431452,Drake Maye,QB,NE,18.06,18.2,,0.0,0.0,
2026,2,2026-09-15,4430027,Sam LaPorta,TE,DET,11.11,11.19,,0.0,0.0,
2026,2,2026-09-15,4689114,Jaxson Dart,QB,NYG,18.23,17.5,,0.0,0.0,
2026,2,2026-09-15,4047365,Josh Jacobs,RB,GB,0.0,,,0.0,0.0,
2026,2,2026-09-15,4362081,Cameron Dicker,K,LAC,10.07,7.54,,0.0,0.0,
2026,2,2026-09-15,4373678,Khalil Shakir,WR,BUF,10.18,10.93,,0.0,0.0,
2026,2,2026-09-15,4710714,De'Zhaun Stribling,WR,SF,0.0,,,0.0,0.0,
2026,2,2026-09-15,-16021,Eagles D/ST,D/ST,PHI,6.91,9.6,,0.0,0.0,
2026,2,2026-09-15,4432620,Parker Washington,WR,JAX,12.1,10.97,,0.0,0.0,
2026,2,2026-09-15,16737,Mike Evans,WR,SF,12.51,13.69,,0.0,0.0,
2026,2,2026-09-15,4678008,Jonathon Brooks,RB,CAR,8.51,6.63,,0.0,0.0,
2026,2,2026-09-15,4431611,Caleb Williams,QB,CHI,18.61,16.56,,0.0,0.0,
2026,2,2026-09-15,4685702,Quinshon Judkins,RB,CLE,11.81,12.67,,0.0,0.0,
2026,2,2026-09-15,4428331,Rashee Rice,WR,KC,15.61,13.55,,0.0,0.0,
2026,2,2026-09-15,4432665,Brock Bowers,TE,LV,14.87,13.58,,0.0,0.0,
2026,2,2026-09-15,-16016,Vikings D/ST,D/ST,MIN,3.62,6.48,,0.0,0.0,
2026,2,2026-09-15,4034949,Eddy Pineiro,K,SF,10.35,6.97,,0.0,0.0,
2026,2,2026-09-15,4035538,David Montgomery,RB,HOU,14.09,16.94,,0.0,0.0,
2026,2,2026-09-15,4685278,Luther Burden III,WR,CHI,12.53,11.59,,0.0,0.0,
2026,2,2026-09-15,4426388,Jameson Williams,WR,DET,12.21,12.62,,0.0,0.0,
2026,2,2026-09-15,3116165,Chris Godwin Jr.,WR,TB,9.75,10.37,,0.0,0.0,
2026,2,2026-09-15,3916148,Tony Pollard,RB,TEN,11.27,8.75,,0.0,0.0,
2026,2,2026-09-15,3917315,Kyler Murray,QB,MIN,0.0,16.85,,0.0,0.0,
2026,2,2026-09-15,3929645,Juwan Johnson,TE,NO,8.88,9.87,,0.0,0.0,
