season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,3,2026-09-22,4374302,Amon-Ra St. Brown,WR,DET,19.87,19.88,19.7,21.24,0.02,27.5
2026,3,2026-09-22,4361370,Chris Olave,WR,NO,17.76,16.74,17.3,17.32,0.02,23.25
2026,3,2026-09-22,4038941,Justin Herbert,QB,LAC,17.53,17.34,19.5,17.1,0.02,21.75
2026,3,2026-09-22,4890973,Ashton Jeanty,RB,LV,18.92,14.34,17.3,16.03,0.02,20.25
2026,3,2026-09-22,4695883,Jalen Coker,WR,CAR,13.88,15.08,12.3,14.37,0.02,22.5
2026,3,2026-09-22,3040151,George Kittle,TE,SF,12.7,12.52,10.2,13.43,0.02,28.0
2026,3,2026-09-22,4432710,TreVeyon Henderson,RB,NE,10.53,13.45,9.7,11.72,0.02,21.25
2026,3,2026-09-22,4882093,Bhayshul Tuten,RB,JAX,11.04,11.76,11.7,11.59,0.02,24.25
2026,3,2026-09-22,4239996,Travis Etienne Jr.,RB,NO,11.97,10.2,12.4,11.12,0.02,23.25
2026,3,2026-09-22,3051909,Daniel Carlson,K,NO,8.87,8.28,6.8,8.61,0.02,23.25
2026,3,2026-09-22,3054850,Alvin Kamara,RB,NO,9.61,7.28,5.8,8.47,0.02,23.25
2026,3,2026-09-22,4569587,Wan'Dale Robinson,WR,TEN,7.83,9.43,9.5,8.04,0.02,18.5
2026,3,2026-09-22,4429059,Woody Marks,RB,HOU,8.62,6.84,8.1,7.73,0.02,23.0
2026,3,2026-09-22,4608686,Kyle Monangai,RB,CHI,8.42,6.91,10.0,7.44,0.02,20.75
2026,3,2026-09-22,-16027,Buccaneers D/ST,D/ST,TB,5.61,6.52,8.3,6.06,0.02,20.5
2026,3,2026-09-22,4430834,Jalen McMillan,WR,TB,5.82,3.67,5.4,4.56,0.02,20.5
2026,3,2026-09-22,4242335,Jonathan Taylor,RB,IND,20.62,20.24,17.6,19.76,0.02,20.5
2026,3,2026-09-22,4431452,Drake Maye,QB,NE,18.63,18.87,18.7,18.25,0.02,21.25
2026,3,2026-09-22,4361307,Trey McBride,TE,ARI,16.52,17.33,15.6,16.15,0.02,19.5
2026,3,2026-09-22,4432620,Parker Washington,WR,JAX,15.01,15.59,14.1,15.59,0.02,24.25
2026,3,2026-09-22,4685382,Omarion Hampton,RB,LAC,15.02,15.19,15.3,14.86,0.02,21.75
2026,3,2026-09-22,4685472,Tetairoa McMillan,WR,CAR,14.29,14.45,13.6,14.26,0.02,22.5
2026,3,2026-09-22,4689114,Jaxson Dart,QB,NYG,20.42,,18.4,19.51,0.3,22.0
2026,3,2026-09-22,4430737,Kyren Williams,RB,LAR,12.84,13.71,14.7,13.36,0.02,23.5
2026,3,2026-09-22,4430027,Sam LaPorta,TE,DET,11.2,12.15,11.4,12.36,0.02,27.5
2026,3,2026-09-22,4373678,Khalil Shakir,WR,BUF,10.34,10.22,9.8,11.18,0.02,28.75
2026,3,2026-09-22,4569559,Devaughn Vele,WR,NO,11.52,9.55,9.8,10.58,0.02,23.25
2026,3,2026-09-22,16737,Mike Evans,WR,SF,12.48,13.63,14.4,14.05,0.3,28.0
2026,3,2026-09-22,4362081,Cameron Dicker,K,LAC,9.12,7.91,8.9,8.33,0.02,21.75
2026,3,2026-09-22,-16021,Eagles D/ST,D/ST,PHI,5.53,8.38,8.3,6.96,0.02,23.75
2026,3,2026-09-22,4426348,Jayden Daniels,QB,WSH,0.0,,20.0,18.1,0.8,16.75
2026,3,2026-09-22,4678008,Jonathon Brooks,RB,CAR,7.2,,7.6,7.27,0.8,22.5
2026,3,2026-09-22,4047365,Josh Jacobs,RB,GB,0.0,,0.0,0.0,1.0,24.75
2026,3,2026-09-22,4428331,Rashee Rice,WR,KC,12.73,12.58,14.3,13.71,0.02,28.5
2026,3,2026-09-22,4035538,David Montgomery,RB,HOU,11.91,14.8,14.1,13.36,0.02,23.0
2026,3,2026-09-22,4426388,Jameson Williams,WR,DET,10.93,12.81,12.5,12.68,0.02,27.5
2026,3,2026-09-22,4685702,Quinshon Judkins,RB,CLE,13.71,11.97,11.4,12.34,0.02,20.0
2026,3,2026-09-22,4685278,Luther Burden III,WR,CHI,11.59,10.62,12.9,10.72,0.02,20.75
2026,3,2026-09-22,3929645,Juwan Johnson,TE,NO,9.18,9.89,10.2,9.57,0.02,23.25
2026,3,2026-09-22,3116165,Chris Godwin Jr.,WR,TB,8.8,9.84,12.0,8.97,0.02,20.5
2026,3,2026-09-22,4036133,T.J. Hockenson,TE,MIN,9.18,8.87,8.5,8.91,0.02,22.0
2026,3,2026-09-22,4574716,Harrison Mevis,K,LAR,8.79,8.23,7.6,8.58,0.02,23.5
2026,3,2026-09-22,4431611,Caleb Williams,QB,CHI,0.0,,20.5,19.8,0.8,20.75
2026,3,2026-09-22,4432665,Brock Bowers,TE,LV,14.18,13.68,,13.43,1.0,20.25
2026,3,2026-09-22,3917315,Kyler Murray,QB,MIN,17.34,17.69,,17.25,1.0,22.0
