season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,2,2026-09-18,4374302,Amon-Ra St. Brown,WR,DET,20.37,17.44,19.7,35.2,0.0,
2026,2,2026-09-18,4038941,Justin Herbert,QB,LAC,19.77,16.88,19.4,18.88,0.02,25.0
2026,2,2026-09-18,4890973,Ashton Jeanty,RB,LV,17.65,14.87,17.2,15.31,0.02,18.5
2026,2,2026-09-18,4239996,Travis Etienne Jr.,RB,NO,12.27,10.99,12.4,11.1,0.02,19.5
2026,2,2026-09-18,4361370,Chris Olave,WR,NO,15.83,15.59,16.8,14.87,0.3,19.5
2026,2,2026-09-18,-16027,Buccaneers D/ST,D/ST,TB,7.93,9.78,8.2,8.86,0.02,25.0
2026,2,2026-09-18,4432710,TreVeyon Henderson,RB,NE,9.36,9.54,7.9,9.51,0.02,23.5
2026,2,2026-09-18,4882093,Bhayshul Tuten,RB,JAX,10.08,9.1,10.9,9.4,0.02,21.5
2026,2,2026-09-18,4695883,Jalen Coker,WR,CAR,11.95,12.91,12.3,12.43,0.3,23.0
2026,2,2026-09-18,3040151,George Kittle,TE,SF,10.52,10.7,10.8,11.44,0.3,29.0
2026,2,2026-09-18,4569587,Wan'Dale Robinson,WR,TEN,9.49,7.65,9.5,7.69,0.02,16.25
2026,2,2026-09-18,4429059,Woody Marks,RB,HOU,7.11,7.27,7.6,7.33,0.02,24.5
2026,2,2026-09-18,4430834,Jalen McMillan,WR,TB,7.02,5.68,4.9,6.54,0.02,25.0
2026,2,2026-09-18,3051909,Daniel Carlson,K,NO,7.95,5.81,6.9,6.46,0.02,19.5
2026,2,2026-09-18,4608686,Kyle Monangai,RB,CHI,9.87,7.0,10.3,8.82,0.3,26.5
2026,2,2026-09-18,3054850,Alvin Kamara,RB,NO,5.4,4.32,5.0,4.64,0.02,19.5
2026,2,2026-09-18,4426348,Jayden Daniels,QB,WSH,19.69,20.25,20.5,20.12,0.02,23.5
2026,2,2026-09-18,4431452,Drake Maye,QB,NE,18.23,18.89,18.3,18.7,0.02,23.5
2026,2,2026-09-18,4242335,Jonathan Taylor,RB,IND,18.29,18.79,17.5,17.81,0.02,20.0
2026,2,2026-09-18,4430027,Sam LaPorta,TE,DET,11.24,11.19,11.7,17.2,0.0,
2026,2,2026-09-18,4689114,Jaxson Dart,QB,NYG,18.24,18.07,18.2,17.53,0.02,20.75
2026,2,2026-09-18,4430737,Kyren Williams,RB,LAR,14.21,16.99,14.4,16.57,0.02,27.75
2026,2,2026-09-18,4685382,Omarion Hampton,RB,LAC,15.87,13.74,15.1,15.19,0.02,25.0
2026,2,2026-09-18,16737,Mike Evans,WR,SF,12.96,12.93,14.4,14.13,0.02,29.0
2026,2,2026-09-18,4685472,Tetairoa McMillan,WR,CAR,13.61,14.6,13.6,14.11,0.02,23.0
2026,2,2026-09-18,4361307,Trey McBride,TE,ARI,14.42,14.6,15.5,13.66,0.02,18.5
2026,2,2026-09-18,4432620,Parker Washington,WR,JAX,12.15,10.97,13.6,11.3,0.02,21.5
2026,2,2026-09-18,4362081,Cameron Dicker,K,LAC,9.84,7.36,9.1,8.9,0.02,25.0
2026,2,2026-09-18,-16021,Eagles D/ST,D/ST,PHI,7.2,9.6,8.3,8.4,0.02,23.25
2026,2,2026-09-18,4678008,Jonathon Brooks,RB,CAR,8.65,6.73,8.1,7.69,0.02,23.0
2026,2,2026-09-18,4373678,Khalil Shakir,WR,BUF,10.29,10.95,10.4,6.8,0.0,
2026,2,2026-09-18,4047365,Josh Jacobs,RB,GB,0.0,,0.0,0.0,1.0,24.0
2026,2,2026-09-18,4710714,De'Zhaun Stribling,WR,SF,0.0,,,0.0,1.0,29.0
2026,2,2026-09-18,4431611,Caleb Williams,QB,CHI,19.29,16.68,21.3,18.94,0.02,26.5
2026,2,2026-09-18,4035538,David Montgomery,RB,HOU,14.06,17.07,14.0,15.87,0.02,24.5
2026,2,2026-09-18,4428331,Rashee Rice,WR,KC,15.07,13.93,14.8,15.27,0.02,26.5
2026,2,2026-09-18,4685278,Luther Burden III,WR,CHI,12.46,11.19,12.8,12.45,0.02,26.5
2026,2,2026-09-18,4685702,Quinshon Judkins,RB,CLE,12.0,12.44,12.0,11.18,0.02,16.5
2026,2,2026-09-18,3116165,Chris Godwin Jr.,WR,TB,10.0,10.37,12.0,10.49,0.02,25.0
2026,2,2026-09-18,4036133,T.J. Hockenson,TE,MIN,10.11,9.07,8.6,9.46,0.02,22.0
2026,2,2026-09-18,4432665,Brock Bowers,TE,LV,14.43,13.27,5.5,13.04,0.3,18.5
2026,2,2026-09-18,4034949,Eddy Pineiro,K,SF,10.31,6.77,8.8,9.43,0.3,29.0
2026,2,2026-09-18,3929645,Juwan Johnson,TE,NO,8.89,9.87,11.0,8.95,0.3,19.5
2026,2,2026-09-18,4426388,Jameson Williams,WR,DET,12.32,12.62,12.9,5.3,0.0,
2026,2,2026-09-18,3917315,Kyler Murray,QB,MIN,0.0,,3.8,3.74,0.3,22.0
