season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,2,2026-09-21,4374302,Amon-Ra St. Brown,WR,DET,20.39,17.44,21.7,35.2,0.0,
2026,2,2026-09-21,4361370,Chris Olave,WR,NO,15.92,15.62,17.3,22.6,0.0,
2026,2,2026-09-21,3040151,George Kittle,TE,SF,10.54,10.7,10.2,18.0,0.0,
2026,2,2026-09-21,4695883,Jalen Coker,WR,CAR,11.95,12.91,12.3,14.6,0.0,
2026,2,2026-09-21,4882093,Bhayshul Tuten,RB,JAX,10.09,9.1,11.7,14.2,0.0,
2026,2,2026-09-21,4432710,TreVeyon Henderson,RB,NE,9.34,9.54,9.7,13.6,0.0,
2026,2,2026-09-21,3051909,Daniel Carlson,K,NO,7.95,5.76,6.8,13.0,0.0,
2026,2,2026-09-21,4890973,Ashton Jeanty,RB,LV,18.39,15.89,17.3,10.3,0.0,
2026,2,2026-09-21,4429059,Woody Marks,RB,HOU,7.76,8.95,8.1,8.5,0.0,
2026,2,2026-09-21,4038941,Justin Herbert,QB,LAC,19.76,16.88,19.5,7.88,0.0,
2026,2,2026-09-21,4608686,Kyle Monangai,RB,CHI,9.85,7.07,10.0,7.8,0.0,
2026,2,2026-09-21,3054850,Alvin Kamara,RB,NO,6.41,5.27,5.8,7.2,0.0,
2026,2,2026-09-21,4239996,Travis Etienne Jr.,RB,NO,12.81,11.75,12.4,7.1,0.0,
2026,2,2026-09-21,-16027,Buccaneers D/ST,D/ST,TB,8.21,9.78,8.3,4.0,0.0,
2026,2,2026-09-21,4569587,Wan'Dale Robinson,WR,TEN,9.5,7.65,9.5,1.9,0.0,
2026,2,2026-09-21,4430834,Jalen McMillan,WR,TB,7.03,5.68,5.4,0.0,0.0,
2026,2,2026-09-21,4242335,Jonathan Taylor,RB,IND,18.44,18.79,17.6,29.2,0.0,
2026,2,2026-09-21,4361307,Trey McBride,TE,ARI,14.47,14.8,15.6,18.1,0.0,
2026,2,2026-09-21,4685382,Omarion Hampton,RB,LAC,15.84,13.98,15.3,17.5,0.0,
2026,2,2026-09-21,4430027,Sam LaPorta,TE,DET,11.25,11.19,11.4,17.2,0.0,
2026,2,2026-09-21,4689114,Jaxson Dart,QB,NYG,18.18,18.07,18.4,17.44,0.02,20.5
2026,2,2026-09-21,4432620,Parker Washington,WR,JAX,12.19,13.04,14.1,16.8,0.0,
2026,2,2026-09-21,4430737,Kyren Williams,RB,LAR,14.47,16.99,14.7,16.55,0.02,27.0
2026,2,2026-09-21,4685472,Tetairoa McMillan,WR,CAR,13.62,14.6,13.6,15.1,0.0,
2026,2,2026-09-21,4426348,Jayden Daniels,QB,WSH,19.79,20.24,20.0,14.74,0.0,
2026,2,2026-09-21,4569559,Devaughn Vele,WR,NO,9.46,9.56,9.8,11.4,0.0,
2026,2,2026-09-21,16737,Mike Evans,WR,SF,12.99,12.93,14.4,8.4,0.0,
2026,2,2026-09-21,4431452,Drake Maye,QB,NE,18.23,18.89,19.1,8.02,0.0,
2026,2,2026-09-21,4373678,Khalil Shakir,WR,BUF,10.33,10.95,9.8,6.8,0.0,
2026,2,2026-09-21,-16021,Eagles D/ST,D/ST,PHI,7.09,9.6,8.3,4.0,0.0,
2026,2,2026-09-21,4678008,Jonathon Brooks,RB,CAR,8.65,6.74,7.6,2.1,0.0,
2026,2,2026-09-21,4362081,Cameron Dicker,K,LAC,9.84,7.36,8.9,1.0,0.0,
2026,2,2026-09-21,4047365,Josh Jacobs,RB,GB,0.0,,0.0,0.0,0.0,
2026,2,2026-09-21,4428331,Rashee Rice,WR,KC,15.04,13.93,14.3,12.3,0.0,
2026,2,2026-09-21,3929645,Juwan Johnson,TE,NO,8.87,9.87,10.2,10.6,0.0,
2026,2,2026-09-21,4685702,Quinshon Judkins,RB,CLE,11.97,12.44,11.4,9.8,0.0,
2026,2,2026-09-21,3116165,Chris Godwin Jr.,WR,TB,10.01,10.37,12.0,8.8,0.0,
2026,2,2026-09-21,4574716,Harrison Mevis,K,LAR,9.78,6.99,7.6,8.97,0.02,27.0
2026,2,2026-09-21,4431611,Caleb Williams,QB,CHI,19.42,18.55,20.5,7.72,0.0,
2026,2,2026-09-21,4685278,Luther Burden III,WR,CHI,12.46,11.46,12.9,6.2,0.0,
2026,2,2026-09-21,4036133,T.J. Hockenson,TE,MIN,9.56,9.07,8.5,5.9,0.0,
2026,2,2026-09-21,4426388,Jameson Williams,WR,DET,12.33,12.62,12.5,5.3,0.0,
2026,2,2026-09-21,4035538,David Montgomery,RB,HOU,14.2,17.05,14.1,4.4,0.0,
2026,2,2026-09-21,4432665,Brock Bowers,TE,LV,0.0,,,0.0,0.0,
2026,2,2026-09-21,3917315,Kyler Murray,QB,MIN,0.0,,,0.0,0.0,
