season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,2,2026-09-16,4374302,Amon-Ra St. Brown,WR,DET,20.35,17.44,19.2,19.33,0.02,24.5
2026,2,2026-09-16,4038941,Justin Herbert,QB,LAC,19.75,17.05,18.1,18.96,0.02,25.0
2026,2,2026-09-16,4890973,Ashton Jeanty,RB,LV,17.67,14.67,17.6,15.22,0.02,18.5
2026,2,2026-09-16,4361370,Chris Olave,WR,NO,15.83,15.59,16.6,14.99,0.02,20.0
2026,2,2026-09-16,3040151,George Kittle,TE,SF,10.53,11.33,9.6,11.86,0.02,29.5
2026,2,2026-09-16,4239996,Travis Etienne Jr.,RB,NO,12.28,10.23,13.2,10.81,0.02,20.0
2026,2,2026-09-16,-16027,Buccaneers D/ST,D/ST,TB,8.02,9.78,8.0,8.9,0.02,25.0
2026,2,2026-09-16,4882093,Bhayshul Tuten,RB,JAX,9.36,9.1,11.7,9.05,0.02,21.5
2026,2,2026-09-16,4695883,Jalen Coker,WR,CAR,12.06,12.91,12.0,12.48,0.3,23.0
2026,2,2026-09-16,4608686,Kyle Monangai,RB,CHI,9.91,6.88,9.0,8.78,0.02,26.5
2026,2,2026-09-16,4569587,Wan'Dale Robinson,WR,TEN,9.49,7.65,9.3,7.69,0.02,16.25
2026,2,2026-09-16,4429059,Woody Marks,RB,HOU,7.14,7.25,6.6,7.36,0.02,24.75
2026,2,2026-09-16,4432710,TreVeyon Henderson,RB,NE,9.36,9.54,5.9,9.45,0.3,23.0
2026,2,2026-09-16,3051909,Daniel Carlson,K,NO,7.95,5.84,7.1,6.54,0.02,20.0
2026,2,2026-09-16,4430834,Jalen McMillan,WR,TB,7.02,5.68,4.5,6.54,0.3,25.0
2026,2,2026-09-16,3054850,Alvin Kamara,RB,NO,5.39,4.32,3.4,4.67,0.3,20.0
2026,2,2026-09-16,4426348,Jayden Daniels,QB,WSH,19.68,20.46,19.3,20.07,0.02,23.0
2026,2,2026-09-16,4431452,Drake Maye,QB,NE,18.22,18.89,17.6,18.55,0.02,23.0
2026,2,2026-09-16,4242335,Jonathan Taylor,RB,IND,18.27,18.79,17.9,17.8,0.02,20.0
2026,2,2026-09-16,4689114,Jaxson Dart,QB,NYG,18.21,18.07,17.1,17.38,0.02,20.25
2026,2,2026-09-16,4430737,Kyren Williams,RB,LAR,14.16,16.99,14.3,16.44,0.02,27.25
2026,2,2026-09-16,4685382,Omarion Hampton,RB,LAC,15.88,13.68,15.1,15.17,0.02,25.0
2026,2,2026-09-16,16737,Mike Evans,WR,SF,12.96,13.69,14.2,14.64,0.02,29.5
2026,2,2026-09-16,4685472,Tetairoa McMillan,WR,CAR,13.73,14.6,13.4,14.16,0.02,23.0
2026,2,2026-09-16,4361307,Trey McBride,TE,ARI,14.4,14.91,14.9,13.79,0.02,18.5
2026,2,2026-09-16,4373678,Khalil Shakir,WR,BUF,10.25,10.93,9.7,11.72,0.02,30.0
2026,2,2026-09-16,4430027,Sam LaPorta,TE,DET,11.23,11.19,11.2,11.43,0.02,24.5
2026,2,2026-09-16,4432620,Parker Washington,WR,JAX,12.15,10.97,13.8,11.3,0.02,21.5
2026,2,2026-09-16,4362081,Cameron Dicker,K,LAC,9.84,7.36,8.6,8.9,0.02,25.0
2026,2,2026-09-16,-16021,Eagles D/ST,D/ST,PHI,7.2,9.6,8.8,8.4,0.02,23.25
2026,2,2026-09-16,4678008,Jonathon Brooks,RB,CAR,8.47,6.73,7.2,7.6,0.02,23.0
2026,2,2026-09-16,4710714,De'Zhaun Stribling,WR,SF,0.0,,3.1,3.41,0.8,29.5
2026,2,2026-09-16,4047365,Josh Jacobs,RB,GB,0.0,,,0.0,1.0,24.5
2026,2,2026-09-16,4431611,Caleb Williams,QB,CHI,19.32,17.06,20.4,19.16,0.02,26.5
2026,2,2026-09-16,4035538,David Montgomery,RB,HOU,14.03,16.94,14.2,15.84,0.02,24.75
2026,2,2026-09-16,4428331,Rashee Rice,WR,KC,15.07,13.43,15.0,15.01,0.02,26.5
2026,2,2026-09-16,4426388,Jameson Williams,WR,DET,12.31,12.62,12.9,12.75,0.02,24.5
2026,2,2026-09-16,4685278,Luther Burden III,WR,CHI,12.45,11.59,13.2,12.66,0.02,26.5
2026,2,2026-09-16,4685702,Quinshon Judkins,RB,CLE,11.99,12.44,12.2,11.18,0.02,16.5
2026,2,2026-09-16,3116165,Chris Godwin Jr.,WR,TB,10.0,10.37,12.4,10.49,0.02,25.0
2026,2,2026-09-16,4034949,Eddy Pineiro,K,SF,10.31,6.8,8.4,9.52,0.02,29.5
2026,2,2026-09-16,4432665,Brock Bowers,TE,LV,14.41,13.68,4.5,13.22,0.3,18.5
2026,2,2026-09-16,3916148,Tony Pollard,RB,TEN,11.13,8.75,9.6,9.06,0.02,16.25
2026,2,2026-09-16,3929645,Juwan Johnson,TE,NO,8.88,9.87,9.6,9.01,0.02,20.0
2026,2,2026-09-16,3917315,Kyler Murray,QB,MIN,0.0,,0.8,0.78,0.3,21.0
