season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,3,2026-09-23,4374302,Amon-Ra St. Brown,WR,DET,19.86,19.54,19.1,20.9,0.02,27.0
2026,3,2026-09-23,4361370,Chris Olave,WR,NO,17.76,17.97,18.5,17.93,0.02,23.25
2026,3,2026-09-23,4038941,Justin Herbert,QB,LAC,17.53,16.6,17.4,16.74,0.02,21.75
2026,3,2026-09-23,4890973,Ashton Jeanty,RB,LV,18.93,15.05,19.6,16.38,0.02,20.25
2026,3,2026-09-23,3040151,George Kittle,TE,SF,12.7,12.43,10.9,13.38,0.02,28.0
2026,3,2026-09-23,4695883,Jalen Coker,WR,CAR,13.85,14.34,13.2,13.99,0.15,22.5
2026,3,2026-09-23,4432710,TreVeyon Henderson,RB,NE,10.53,12.76,11.5,11.38,0.02,21.25
2026,3,2026-09-23,4882093,Bhayshul Tuten,RB,JAX,11.04,11.24,12.2,11.32,0.02,24.25
2026,3,2026-09-23,4239996,Travis Etienne Jr.,RB,NO,11.97,11.1,12.1,11.57,0.15,23.25
2026,3,2026-09-23,3054850,Alvin Kamara,RB,NO,9.61,7.95,4.9,8.81,0.02,23.25
2026,3,2026-09-23,3051909,Daniel Carlson,K,NO,8.84,8.44,7.1,8.68,0.02,23.25
2026,3,2026-09-23,-16016,Vikings D/ST,D/ST,MIN,8.37,8.56,7.3,8.46,0.02,22.0
2026,3,2026-09-23,4569587,Wan'Dale Robinson,WR,TEN,8.03,9.03,9.5,7.95,0.02,18.5
2026,3,2026-09-23,4429059,Woody Marks,RB,HOU,8.63,6.84,8.7,7.68,0.02,22.5
2026,3,2026-09-23,4608686,Kyle Monangai,RB,CHI,8.49,7.07,10.3,7.32,0.15,18.5
2026,3,2026-09-23,4430834,Jalen McMillan,WR,TB,5.82,2.29,4.5,3.9,0.02,20.5
2026,3,2026-09-23,4242335,Jonathan Taylor,RB,IND,20.61,19.25,18.5,19.15,0.02,20.0
2026,3,2026-09-23,4431452,Drake Maye,QB,NE,18.64,17.93,18.0,17.8,0.02,21.25
2026,3,2026-09-23,4361307,Trey McBride,TE,ARI,16.47,17.08,17.1,16.01,0.02,19.5
2026,3,2026-09-23,4432620,Parker Washington,WR,JAX,15.0,15.03,14.9,15.3,0.02,24.25
2026,3,2026-09-23,4685382,Omarion Hampton,RB,LAC,15.02,14.23,16.0,14.39,0.02,21.75
2026,3,2026-09-23,4685472,Tetairoa McMillan,WR,CAR,14.25,13.83,14.5,13.93,0.02,22.5
2026,3,2026-09-23,4430737,Kyren Williams,RB,LAR,12.58,13.58,14.9,13.17,0.02,23.5
2026,3,2026-09-23,4430027,Sam LaPorta,TE,DET,11.2,11.97,14.1,12.19,0.02,27.0
2026,3,2026-09-23,16737,Mike Evans,WR,SF,12.48,13.56,14.6,14.01,0.15,28.0
2026,3,2026-09-23,4373678,Khalil Shakir,WR,BUF,10.35,10.31,10.1,11.23,0.02,28.75
2026,3,2026-09-23,4569559,Devaughn Vele,WR,NO,11.51,10.12,10.5,10.86,0.02,23.25
2026,3,2026-09-23,4362081,Cameron Dicker,K,LAC,9.1,7.74,7.8,8.24,0.02,21.75
2026,3,2026-09-23,-16021,Eagles D/ST,D/ST,PHI,8.02,8.22,7.6,8.12,0.02,23.0
2026,3,2026-09-23,2576925,Darren Waller,TE,CAR,5.56,7.69,6.8,6.58,0.02,22.5
2026,3,2026-09-23,4686468,Seth McGowan,RB,IND,2.59,1.64,1.3,2.03,0.02,20.0
2026,3,2026-09-23,4426348,Jayden Daniels,QB,WSH,0.0,,0.5,0.45,1.0,16.75
2026,3,2026-09-23,4689114,Jaxson Dart,QB,NYG,0.0,,0.9,0.87,1.0,21.0
2026,3,2026-09-23,4047365,Josh Jacobs,RB,GB,0.0,,,0.0,1.0,24.0
2026,3,2026-09-23,3917315,Kyler Murray,QB,MIN,17.34,17.58,16.7,17.19,0.02,22.0
2026,3,2026-09-23,4428331,Rashee Rice,WR,KC,12.74,12.77,14.0,13.92,0.02,29.0
2026,3,2026-09-23,4035538,David Montgomery,RB,HOU,11.91,14.77,13.9,13.25,0.02,22.5
2026,3,2026-09-23,4685702,Quinshon Judkins,RB,CLE,13.72,12.55,12.2,12.62,0.02,20.0
2026,3,2026-09-23,4426388,Jameson Williams,WR,DET,10.93,12.64,11.9,12.5,0.02,27.0
2026,3,2026-09-23,4432665,Brock Bowers,TE,LV,14.18,13.64,10.5,13.41,0.15,20.25
2026,3,2026-09-23,4685278,Luther Burden III,WR,CHI,11.16,10.36,11.0,10.02,0.02,18.5
2026,3,2026-09-23,3929645,Juwan Johnson,TE,NO,9.18,10.36,10.5,9.8,0.02,23.25
2026,3,2026-09-23,3116165,Chris Godwin Jr.,WR,TB,8.8,9.83,11.1,8.96,0.02,20.5
2026,3,2026-09-23,4036133,T.J. Hockenson,TE,MIN,9.18,8.79,8.6,8.87,0.02,22.0
2026,3,2026-09-23,4574716,Harrison Mevis,K,LAR,8.66,8.23,7.8,8.52,0.02,23.5
2026,3,2026-09-23,-16019,Giants D/ST,D/ST,NYG,6.63,8.57,6.0,7.6,0.02,21.0
2026,3,2026-09-23,4431611,Caleb Williams,QB,CHI,0.0,,0.5,0.47,0.8,18.5
