season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,2,2026-09-19,4374302,Amon-Ra St. Brown,WR,DET,20.39,17.44,19.7,35.2,0.0,
2026,2,2026-09-19,4038941,Justin Herbert,QB,LAC,19.79,16.88,19.5,18.89,0.02,25.0
2026,2,2026-09-19,4890973,Ashton Jeanty,RB,LV,18.39,15.89,17.3,16.13,0.02,18.5
2026,2,2026-09-19,4695883,Jalen Coker,WR,CAR,11.95,12.91,12.0,12.43,0.02,23.0
2026,2,2026-09-19,3040151,George Kittle,TE,SF,10.54,10.7,10.8,11.45,0.02,29.0
2026,2,2026-09-19,4239996,Travis Etienne Jr.,RB,NO,12.25,10.99,12.4,11.01,0.02,19.0
2026,2,2026-09-19,4361370,Chris Olave,WR,NO,15.9,15.59,16.9,14.79,0.3,19.0
2026,2,2026-09-19,-16027,Buccaneers D/ST,D/ST,TB,8.15,9.78,8.3,8.96,0.02,25.0
2026,2,2026-09-19,4432710,TreVeyon Henderson,RB,NE,9.34,9.54,7.6,9.5,0.02,23.5
2026,2,2026-09-19,4882093,Bhayshul Tuten,RB,JAX,10.09,9.1,11.3,9.41,0.02,21.5
2026,2,2026-09-19,4608686,Kyle Monangai,RB,CHI,9.85,7.0,10.1,8.81,0.02,26.5
2026,2,2026-09-19,4429059,Woody Marks,RB,HOU,7.76,8.87,7.9,8.42,0.02,24.0
2026,2,2026-09-19,4569587,Wan'Dale Robinson,WR,TEN,9.5,7.65,9.8,7.69,0.02,16.25
2026,2,2026-09-19,3051909,Daniel Carlson,K,NO,7.95,5.81,6.9,6.4,0.02,19.0
2026,2,2026-09-19,4430834,Jalen McMillan,WR,TB,7.03,5.68,5.1,6.55,0.3,25.0
2026,2,2026-09-19,3054850,Alvin Kamara,RB,NO,5.39,4.32,4.2,4.6,0.02,19.0
2026,2,2026-09-19,4426348,Jayden Daniels,QB,WSH,19.8,20.25,20.5,20.18,0.02,23.5
2026,2,2026-09-19,4431452,Drake Maye,QB,NE,18.26,18.89,18.3,18.72,0.02,23.5
2026,2,2026-09-19,4242335,Jonathan Taylor,RB,IND,18.44,18.79,17.7,17.89,0.02,20.0
2026,2,2026-09-19,4430027,Sam LaPorta,TE,DET,11.25,11.19,11.7,17.2,0.0,
2026,2,2026-09-19,4689114,Jaxson Dart,QB,NYG,18.23,18.07,18.1,17.53,0.02,20.75
2026,2,2026-09-19,4430737,Kyren Williams,RB,LAR,14.22,16.99,14.4,16.57,0.02,27.75
2026,2,2026-09-19,4685382,Omarion Hampton,RB,LAC,15.84,13.98,15.1,15.3,0.02,25.0
2026,2,2026-09-19,16737,Mike Evans,WR,SF,12.99,12.93,14.3,14.14,0.02,29.0
2026,2,2026-09-19,4685472,Tetairoa McMillan,WR,CAR,13.62,14.6,13.3,14.11,0.02,23.0
2026,2,2026-09-19,4361307,Trey McBride,TE,ARI,14.47,14.6,15.4,13.68,0.02,18.5
2026,2,2026-09-19,4432620,Parker Washington,WR,JAX,12.19,13.04,13.6,12.33,0.02,21.5
2026,2,2026-09-19,4569559,Devaughn Vele,WR,NO,9.46,9.56,9.8,8.93,0.02,19.0
2026,2,2026-09-19,4362081,Cameron Dicker,K,LAC,9.84,7.36,9.1,8.9,0.02,25.0
2026,2,2026-09-19,-16021,Eagles D/ST,D/ST,PHI,7.08,9.6,8.3,8.34,0.02,23.25
2026,2,2026-09-19,4678008,Jonathon Brooks,RB,CAR,8.65,6.74,8.1,7.7,0.02,23.0
2026,2,2026-09-19,4373678,Khalil Shakir,WR,BUF,10.33,10.95,10.4,6.8,0.0,
2026,2,2026-09-19,4047365,Josh Jacobs,RB,GB,0.0,,0.0,0.0,1.0,24.0
2026,2,2026-09-19,4431611,Caleb Williams,QB,CHI,19.45,17.46,21.3,19.44,0.02,26.5
2026,2,2026-09-19,4035538,David Montgomery,RB,HOU,14.2,17.05,14.0,15.83,0.02,24.0
2026,2,2026-09-19,4428331,Rashee Rice,WR,KC,15.04,13.93,14.4,15.26,0.02,26.5
2026,2,2026-09-19,4685278,Luther Burden III,WR,CHI,12.46,11.19,12.7,12.45,0.02,26.5
2026,2,2026-09-19,4685702,Quinshon Judkins,RB,CLE,11.97,12.44,12.0,11.17,0.02,16.5
2026,2,2026-09-19,3116165,Chris Godwin Jr.,WR,TB,10.01,10.37,11.8,10.5,0.02,25.0
2026,2,2026-09-19,4036133,T.J. Hockenson,TE,MIN,10.11,9.05,8.6,9.46,0.02,22.0
2026,2,2026-09-19,4574716,Harrison Mevis,K,LAR,9.78,7.04,7.6,9.1,0.02,27.75
2026,2,2026-09-19,3929645,Juwan Johnson,TE,NO,8.86,9.87,11.0,8.88,0.02,19.0
2026,2,2026-09-19,4426388,Jameson Williams,WR,DET,12.33,12.62,12.5,5.3,0.0,
2026,2,2026-09-19,4432665,Brock Bowers,TE,LV,0.0,,5.1,4.8,0.8,18.5
2026,2,2026-09-19,3917315,Kyler Murray,QB,MIN,0.0,,,0.0,1.0,22.0
